EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Hours,Shift
1879624,28,Yes,Travel_Rarely,Care,1,2,Life Sciences,Female,67,1,Other,2,Single,2216,3872,7,Y,No,3,40,10,4,3,7,7,3,7,12,0
1879510,34,No,Travel_Rarely,Dietary,8,3,Medical,Male,82,2,Nurse,3,Married,4404,10228,2,Y,No,3,40,6,3,4,4,3,1,2,12,0
1879233,29,No,Travel_Rarely,Dietary,7,3,Life Sciences,Male,59,1,Nurse,1,Single,2062,19384,3,Y,No,3,40,11,2,3,3,2,1,2,12,1
1878824,32,Yes,Travel_Rarely,Nursing,1,2,Life Sciences,Male,34,2,Nurse,2,Single,6735,12147,6,Y,No,3,40,10,2,3,0,0,0,0,12,0
1878518,37,No,Travel_Rarely,Dietary,7,4,Medical,Male,78,2,Other,1,Married,4284,13588,5,Y,No,4,40,16,2,3,5,3,0,4,12,1
1876599,29,No,Travel_Rarely,Nursing,10,1,Marketing,Female,39,2,Nurse,2,Divorced,8268,11866,1,Y,No,3,40,7,2,3,7,7,1,7,12,1
1875940,33,Yes,Travel_Rarely,Care,25,3,Medical,Male,55,1,Other,2,Single,2313,2993,4,Y,No,4,40,5,0,3,2,2,2,2,12,1
1875209,24,No,Travel_Rarely,Care,17,2,Other,Male,94,1,Nurse,2,Married,2127,9100,1,Y,No,4,40,1,2,3,1,0,0,0,12,0
1874834,30,No,Travel_Rarely,Care,9,2,Medical,Male,83,1,Nurse,3,Single,2206,16117,1,Y,No,3,40,10,5,3,10,0,1,8,12,0
1874724,34,No,Travel_Rarely,Dietary,2,4,Life Sciences,Male,84,2,Therapist,1,Married,5957,23687,6,Y,No,3,40,13,3,3,11,9,5,9,12,1
1874133,31,Yes,Travel_Rarely,Dietary,2,1,Medical,Female,59,1,Nurse,4,Divorced,1129,17536,1,Y,No,3,40,1,4,3,1,0,0,0,12,1
1874111,42,No,Travel_Rarely,Care,13,3,Medical,Male,95,2,Nurse,1,Married,5538,5696,5,Y,No,3,40,10,2,2,0,0,0,0,12,0
1873017,28,No,Travel_Rarely,Nursing,10,1,Medical,Male,74,1,Other,2,Married,1052,23384,1,Y,No,4,40,1,5,3,1,0,0,0,12,0
1872979,28,No,Non-Travel,Dietary,1,2,Life Sciences,Male,43,1,Other,4,Divorced,2706,10494,1,Y,No,3,40,3,2,3,3,2,2,2,12,1
1872881,39,No,Travel_Rarely,Nursing,21,4,Life Sciences,Male,44,2,Nurse,4,Married,6120,3567,3,Y,No,3,40,8,2,4,5,4,1,4,12,0
1872551,36,No,Travel_Rarely,Care,5,4,Life Sciences,Female,82,1,Other,1,Married,3419,13072,9,Y,No,3,40,6,3,4,1,1,0,0,12,1
1872403,43,No,Travel_Rarely,Care,15,2,Life Sciences,Male,65,4,Administrative,3,Married,17603,3525,1,Y,No,4,40,14,3,3,14,10,6,11,12,1
1872375,22,No,Travel_Rarely,Care,5,3,Life Sciences,Male,60,1,Other,2,Divorced,2328,12392,1,Y,No,3,40,4,2,2,4,2,2,2,12,0
1872248,31,Yes,Travel_Rarely,Nursing,16,4,Marketing,Male,70,3,Nurse,3,Married,8161,19002,2,Y,No,3,40,10,2,3,1,0,0,0,12,0
1871585,56,No,Travel_Rarely,Nursing,11,5,Marketing,Female,89,2,Nurse,1,Married,5380,20328,4,Y,No,3,40,6,3,3,0,0,0,0,12,0
1871555,35,No,Travel_Frequently,Care,4,4,Other,Male,47,1,Nurse,4,Married,2376,26537,1,Y,No,3,40,2,2,4,2,2,2,2,12,0
1871083,39,No,Travel_Rarely,Care,10,5,Medical,Male,76,2,Therapist,1,Married,5377,3835,2,Y,No,3,40,10,3,3,7,7,7,7,12,0
1871070,29,No,Travel_Frequently,Dietary,20,1,Medical,Male,40,1,Nurse,4,Married,3812,7003,1,Y,No,3,40,11,3,4,11,8,3,10,12,1
1870106,58,Yes,Travel_Frequently,Care,2,1,Life Sciences,Male,57,1,Nurse,4,Divorced,2380,13384,9,Y,No,3,40,3,3,2,1,0,0,0,12,1
1870096,41,No,Travel_Rarely,Nursing,1,3,Marketing,Male,49,3,Nurse,1,Married,8392,19566,1,Y,No,3,40,10,2,3,10,7,0,7,12,0
1869891,44,No,Travel_Frequently,Nursing,1,5,Marketing,Female,79,2,Nurse,3,Married,4768,9282,7,Y,No,3,40,11,4,2,1,0,0,0,12,0
1867121,42,No,Travel_Frequently,Care,28,4,Technical Degree,Female,88,2,Nurse,4,Married,4523,4386,0,Y,No,3,40,7,4,4,6,5,0,4,12,0
1866815,48,No,Travel_Rarely,Dietary,10,3,Life Sciences,Male,91,5,Administrative,2,Married,19665,13583,4,Y,No,3,40,29,3,3,22,10,12,9,12,0
1866800,34,No,Travel_Frequently,Care,10,4,Technical Degree,Male,92,2,Nurse,3,Married,5063,15332,1,Y,No,3,40,8,3,2,8,2,7,7,12,0
1866571,41,No,Travel_Frequently,Nursing,4,3,Marketing,Male,56,2,Nurse,2,Single,9355,9558,1,Y,No,3,40,8,5,3,8,7,7,7,12,0
1866341,36,No,Non-Travel,Nursing,8,4,Technical Degree,Male,84,2,Nurse,4,Divorced,5079,25952,4,Y,No,3,40,12,3,3,7,7,0,7,12,0
1865341,26,No,Travel_Rarely,Care,23,3,Life Sciences,Female,90,1,Other,4,Divorced,2886,3032,1,Y,No,4,40,3,3,1,3,2,0,2,12,0
1865209,31,No,Travel_Rarely,Care,7,2,Medical,Female,31,2,Therapist,1,Married,4306,4156,1,Y,No,3,40,13,5,1,13,10,3,12,12,1
1865139,49,No,Travel_Frequently,Dietary,10,4,Life Sciences,Female,35,5,Other,1,Single,18665,25594,9,Y,No,3,40,22,4,3,3,2,1,2,12,1
1864653,39,Yes,Travel_Rarely,Nursing,3,2,Medical,Female,41,2,Nurse,3,Married,5238,17778,4,Y,No,3,40,12,3,2,1,0,0,0,12,0
1864456,32,No,Non-Travel,Care,1,3,Life Sciences,Male,61,1,Nurse,4,Divorced,2314,9148,0,Y,No,3,40,4,2,3,3,0,0,2,12,1
1863408,27,No,Non-Travel,Nursing,1,1,Marketing,Male,73,2,Nurse,2,Married,6349,22107,0,Y,No,3,40,6,0,3,5,4,1,4,12,0
1863388,33,No,Travel_Rarely,Care,1,3,Life Sciences,Female,42,2,Nurse,4,Single,6949,12291,0,Y,No,3,40,6,3,3,5,0,1,4,12,0
1863212,33,No,Non-Travel,Dietary,1,2,Medical,Male,59,1,Nurse,3,Divorced,2008,20439,1,Y,No,3,40,1,2,2,1,1,0,0,12,0
1862559,38,No,Travel_Frequently,Dietary,2,4,Life Sciences,Female,75,2,Therapist,1,Single,5980,26085,6,Y,No,3,40,17,2,3,15,7,4,12,12,1
1860698,43,No,Travel_Rarely,Nursing,8,3,Life Sciences,Female,55,2,Therapist,2,Divorced,4765,23814,4,Y,No,4,40,4,2,4,1,0,0,0,12,0
1860095,36,No,Non-Travel,Dietary,1,4,Medical,Female,33,2,Therapist,3,Married,4374,15411,0,Y,No,3,40,4,6,3,3,2,1,2,12,0
1859445,21,Yes,Travel_Rarely,Nursing,5,1,Medical,Male,58,1,Other,1,Single,2380,25479,1,Y,No,3,40,2,6,3,2,2,1,2,12,0
1858522,40,No,Travel_Rarely,Care,2,1,Medical,Female,89,2,Nurse,3,Divorced,6377,13888,5,Y,No,4,40,15,0,3,12,11,11,8,12,1
1857574,47,No,Travel_Rarely,Care,5,5,Life Sciences,Male,42,5,Administrative,3,Married,18300,16375,4,Y,No,3,40,21,2,3,3,2,1,1,12,1
1857447,27,No,Non-Travel,Dietary,8,5,Life Sciences,Male,87,1,Nurse,3,Married,4621,5869,1,Y,No,3,40,3,4,3,3,2,1,2,0,0
1857248,32,No,Non-Travel,Nursing,26,4,Marketing,Male,100,2,Nurse,4,Married,4465,12069,0,Y,No,3,40,4,2,3,3,2,2,2,12,0
1856618,46,No,Travel_Rarely,Nursing,3,1,Marketing,Male,52,4,Administrative,3,Married,17465,15596,3,Y,No,3,40,23,3,3,12,9,4,9,12,1
1856613,29,No,Travel_Rarely,Care,1,3,Life Sciences,Female,97,1,Other,4,Divorced,3760,5598,1,Y,No,3,40,3,5,3,3,2,1,2,12,0
1856275,53,No,Travel_Rarely,Care,23,4,Life Sciences,Female,72,4,Administrative,4,Single,14275,20206,6,Y,No,3,40,33,0,3,12,9,3,8,12,1
1856176,42,No,Travel_Rarely,Dietary,9,2,Other,Male,93,5,Other,4,Single,19613,26362,8,Y,No,4,40,24,2,3,1,0,0,1,12,0
1855799,27,No,Travel_Rarely,Care,7,3,Medical,Female,55,2,Nurse,1,Single,6811,23398,8,Y,No,3,40,9,2,1,7,6,0,7,12,1
1855095,27,Yes,Travel_Frequently,Dietary,5,2,Life Sciences,Female,53,1,Nurse,4,Single,2379,19826,0,Y,No,3,40,6,3,2,5,4,0,2,12,0
1854050,52,No,Travel_Rarely,Care,3,3,Medical,Male,39,3,Therapist,3,Married,7969,19609,2,Y,No,3,40,28,4,3,5,4,0,4,12,1
1853558,33,No,Travel_Rarely,Care,2,3,Life Sciences,Male,90,1,Other,4,Single,2500,10515,0,Y,No,3,40,4,2,4,3,1,0,2,12,1
1853111,51,No,Travel_Rarely,Dietary,6,3,Life Sciences,Male,51,5,Therapist,3,Single,19537,6462,7,Y,No,3,40,23,5,3,20,18,15,15,12,1
1853035,39,Yes,Non-Travel,Care,2,3,Life Sciences,Female,54,1,Nurse,1,Single,3646,17181,2,Y,No,4,40,11,2,4,1,0,0,0,12,1
1852975,36,No,Travel_Rarely,Care,3,2,Life Sciences,Female,39,1,Nurse,4,Divorced,2835,2561,5,Y,No,4,40,7,2,3,1,0,0,0,12,0
1852842,34,No,Non-Travel,Care,3,4,Life Sciences,Male,40,1,Other,4,Married,2979,22478,3,Y,No,3,40,6,2,3,0,0,0,0,12,0
1852420,31,No,Travel_Rarely,Nursing,5,4,Life Sciences,Female,67,2,Nurse,4,Married,5476,22589,1,Y,No,3,40,10,2,3,10,0,0,2,0,0
1851689,28,No,Travel_Rarely,Dietary,8,2,Medical,Male,63,1,Other,4,Divorced,4936,23965,1,Y,No,3,40,6,6,3,5,1,0,4,12,1
1851151,34,Yes,Travel_Frequently,Care,7,3,Life Sciences,Male,66,2,Nurse,3,Single,6074,22887,1,Y,No,4,40,9,3,3,9,7,0,6,12,0
1850673,42,No,Travel_Frequently,Dietary,9,2,Medical,Female,74,1,Nurse,4,Single,3673,16458,1,Y,No,3,40,12,3,3,12,9,5,8,12,1
1849677,40,No,Travel_Frequently,Care,26,2,Medical,Female,92,2,Other,4,Married,4422,21203,3,Y,No,3,40,16,3,1,1,1,0,0,12,0
1849547,29,No,Travel_Rarely,Care,1,3,Technical Degree,Male,85,1,Other,3,Single,2058,19757,0,Y,No,3,40,7,1,2,6,2,1,5,12,0
1849283,24,No,Travel_Rarely,Care,18,1,Life Sciences,Male,52,1,Nurse,3,Married,2774,13257,0,Y,No,3,40,6,2,3,5,3,1,2,12,0
1848882,30,No,Travel_Rarely,Nursing,4,2,Medical,Female,63,2,Nurse,2,Divorced,5209,19760,1,Y,No,3,40,11,4,2,11,8,2,7,12,0
1848633,40,No,Travel_Rarely,Nursing,2,2,Marketing,Female,46,2,Nurse,2,Divorced,5715,22553,7,Y,No,3,40,8,5,3,5,4,1,3,12,0
1847119,30,No,Non-Travel,Dietary,1,1,Life Sciences,Male,88,3,Therapist,3,Single,8474,20925,1,Y,No,4,40,12,2,3,11,8,5,8,12,1
1847082,40,No,Travel_Rarely,Care,8,2,Life Sciences,Female,92,2,Therapist,1,Married,6516,5041,2,Y,No,3,40,18,3,3,1,0,0,0,12,0
1845955,32,No,Travel_Rarely,Dietary,4,3,Life Sciences,Female,98,2,Therapist,3,Married,6162,19124,1,Y,No,3,40,14,3,3,14,13,6,8,12,0
1845170,24,No,Travel_Frequently,Nursing,24,3,Medical,Male,38,1,Other,4,Married,2400,5530,0,Y,No,3,40,3,3,3,2,2,2,1,12,0
1845153,31,No,Travel_Rarely,Care,11,2,Medical,Male,80,2,Nurse,1,Married,6833,17089,1,Y,No,3,40,6,2,2,6,5,0,1,12,0
1845017,43,No,Travel_Frequently,Nursing,26,2,Life Sciences,Male,92,4,Administrative,4,Married,16959,19494,1,Y,No,3,40,25,3,4,25,12,4,12,12,1
1844995,25,No,Travel_Rarely,Nursing,18,1,Life Sciences,Male,93,2,Nurse,3,Married,6232,12477,2,Y,No,3,40,6,3,2,3,2,1,2,12,1
1844102,50,No,Travel_Frequently,Nursing,8,2,Technical Degree,Male,50,2,Nurse,3,Married,6796,23452,3,Y,No,3,40,18,4,3,4,3,1,3,12,1
1844032,36,No,Travel_Rarely,Nursing,2,4,Life Sciences,Female,51,2,Other,4,Single,4502,7439,3,Y,No,3,40,17,2,2,13,7,6,7,12,1
1843825,37,Yes,Travel_Rarely,Dietary,6,4,Human Resources,Male,63,1,Other,1,Divorced,2073,23648,4,Y,No,4,40,7,3,3,3,2,0,2,12,0
1842922,35,No,Travel_Rarely,Nursing,18,4,Medical,Male,71,2,Nurse,1,Married,5561,15975,0,Y,No,3,40,6,2,1,5,3,0,4,12,1
1842764,19,Yes,Travel_Rarely,Nursing,22,1,Marketing,Male,50,1,Other,3,Single,1675,26820,1,Y,No,3,40,0,2,2,0,0,0,0,0,0
1840229,26,No,Travel_Frequently,Nursing,1,3,Medical,Male,52,2,Nurse,1,Single,4294,11148,1,Y,No,3,40,7,2,3,7,7,0,7,12,0
1838448,29,Yes,Travel_Rarely,Nursing,9,3,Marketing,Female,52,1,Other,2,Single,2760,14630,1,Y,No,3,40,2,3,3,2,2,2,2,12,0
1838364,47,No,Travel_Rarely,Nursing,14,4,Marketing,Male,42,2,Nurse,1,Single,4960,11825,2,Y,No,3,40,20,2,3,7,7,1,7,12,0
1837825,18,No,Travel_Rarely,Care,3,3,Life Sciences,Male,54,1,Nurse,3,Single,1420,25233,1,Y,No,3,40,0,2,3,0,0,0,0,12,1
1837772,26,Yes,Travel_Rarely,Nursing,23,3,Marketing,Female,47,2,Nurse,4,Married,4157,21436,7,Y,No,3,40,5,2,2,2,2,0,0,12,0
1837585,43,No,Travel_Frequently,Care,10,4,Life Sciences,Female,33,1,Nurse,4,Single,2455,10675,0,Y,No,3,40,9,5,3,8,7,1,7,12,1
1837461,40,No,Travel_Rarely,Nursing,2,4,Life Sciences,Female,79,5,Admin,3,Married,18041,13022,0,Y,No,3,40,21,2,3,20,15,1,12,12,1
1836214,21,No,Travel_Rarely,Care,3,2,Medical,Male,100,1,Other,3,Single,3230,10531,1,Y,No,3,40,3,4,4,3,2,1,0,12,0
1835832,49,No,Travel_Rarely,Care,20,4,Medical,Female,96,2,Therapist,1,Married,6567,5549,1,Y,No,3,40,16,2,2,15,11,5,11,12,1
1834180,31,No,Travel_Frequently,Nursing,7,4,Marketing,Female,68,3,Nurse,1,Married,9637,8277,2,Y,No,3,40,9,3,3,3,2,2,2,12,1
1833939,35,No,Travel_Rarely,Care,16,3,Life Sciences,Female,91,3,Other,2,Single,8606,21195,1,Y,No,3,40,11,3,1,11,8,3,3,12,0
1832980,51,No,Travel_Rarely,Dietary,6,3,Life Sciences,Male,51,5,Other,3,Single,19537,6462,7,Y,No,3,40,23,5,3,20,18,15,15,12,1
1831971,27,No,Travel_Rarely,Nursing,2,1,Marketing,Male,85,1,Other,1,Divorced,3041,16346,0,Y,No,3,40,5,3,3,4,3,0,2,12,1
1831818,36,No,Travel_Rarely,Care,12,4,Life Sciences,Female,76,2,Therapist,3,Married,4663,12421,9,Y,No,3,40,7,2,3,3,2,1,1,12,1
1830378,34,No,Travel_Rarely,Care,19,3,Life Sciences,Female,35,1,Other,4,Married,2929,20338,1,Y,No,3,40,10,3,3,10,9,8,7,12,0
1830116,34,No,Travel_Rarely,Care,1,4,Life Sciences,Female,72,1,Other,4,Single,3280,13551,2,Y,No,3,40,10,2,3,4,2,1,3,12,1
1828789,29,No,Travel_Frequently,Care,2,1,Life Sciences,Male,87,2,Nurse,4,Divorced,8853,24483,1,Y,No,3,40,6,0,4,6,4,1,3,12,1
1828538,30,Yes,Travel_Frequently,Dietary,8,3,Human Resources,Female,66,1,Other,4,Divorced,2180,9732,6,Y,No,3,40,6,0,2,4,2,1,2,0,0
1828114,55,No,Non-Travel,Dietary,2,1,Medical,Male,40,4,Other,1,Single,16756,17323,7,Y,No,3,40,31,3,4,9,7,6,2,12,1
1827679,31,Yes,Travel_Frequently,Care,3,3,Life Sciences,Female,33,1,Other,3,Single,4084,4156,1,Y,No,3,40,7,2,1,7,2,7,7,12,1
1827650,47,No,Travel_Rarely,Care,1,3,Technical Degree,Male,74,1,Other,4,Married,3420,10205,7,Y,No,3,40,17,2,2,6,5,1,2,12,0
1826524,34,No,Travel_Rarely,Nursing,2,3,Marketing,Female,86,2,Nurse,1,Single,4538,6039,0,Y,No,3,40,4,3,3,3,2,0,2,12,1
1826482,34,No,Travel_Rarely,Care,5,2,Medical,Male,57,2,Nurse,4,Married,3986,11912,1,Y,No,3,40,15,3,4,15,10,4,13,12,1
1826449,59,No,Travel_Rarely,Care,18,4,Medical,Male,67,3,Therapist,4,Single,10512,20002,6,Y,No,3,40,25,6,2,9,7,5,4,12,1
1826341,33,No,Travel_Rarely,Nursing,1,3,Medical,Male,48,2,Nurse,1,Divorced,4037,21816,1,Y,No,4,40,9,5,3,9,8,0,8,0,0
1825987,34,No,Travel_Rarely,Care,2,4,Medical,Female,86,1,Nurse,1,Single,4381,7530,1,Y,No,3,40,6,3,3,6,5,1,3,12,1
1825860,25,No,Travel_Rarely,Dietary,2,3,Human Resources,Female,82,1,Other,2,Married,2187,19655,4,Y,No,3,40,6,3,3,2,0,1,2,12,1
1825779,30,No,Travel_Rarely,Care,20,3,Other,Male,85,2,Therapist,1,Married,9957,9096,0,Y,No,3,40,7,1,2,6,2,0,2,12,0
1825727,30,No,Non-Travel,Care,9,2,Medical,Female,72,2,Therapist,3,Single,4695,12858,7,Y,No,3,40,10,3,3,8,4,1,7,0,0
1824855,50,No,Travel_Rarely,Care,28,1,Medical,Male,74,1,Nurse,3,Married,3221,3297,1,Y,No,3,40,20,3,3,20,8,3,8,12,0
1824641,26,No,Travel_Rarely,Dietary,2,2,Medical,Male,32,2,Therapist,4,Married,5472,3334,1,Y,No,3,40,8,2,3,8,7,1,3,12,1
1823713,33,No,Travel_Frequently,Care,29,4,Medical,Female,54,2,Other,3,Single,4508,3129,1,Y,No,4,40,14,4,3,13,7,3,8,12,1
1823206,36,No,Travel_Rarely,Care,5,4,Life Sciences,Female,42,3,Other,1,Married,8008,22792,4,Y,No,3,40,9,6,3,3,2,0,2,12,1
1822734,38,No,Travel_Rarely,Nursing,16,3,Life Sciences,Female,90,2,Therapist,2,Single,4198,16379,2,Y,No,3,40,8,5,4,3,2,1,2,12,0
1822695,53,No,Travel_Rarely,Dietary,6,3,Life Sciences,Male,86,2,Nurse,4,Single,2450,10919,2,Y,No,3,40,19,4,3,2,2,2,2,12,1
1822365,34,No,Travel_Rarely,Dietary,3,2,Human Resources,Male,88,1,Other,4,Married,3737,2243,0,Y,No,3,40,4,1,1,3,2,0,2,12,1
1822238,28,No,Travel_Rarely,Care,10,3,Other,Female,59,2,Nurse,3,Single,3660,7909,3,Y,No,3,40,10,4,4,8,7,1,7,12,1
1821156,46,No,Travel_Rarely,Nursing,9,3,Marketing,Male,52,3,Nurse,4,Divorced,10096,15986,4,Y,No,3,40,28,1,4,7,7,4,3,12,0
1820725,30,No,Travel_Rarely,Dietary,1,2,Medical,Male,76,1,Nurse,2,Married,3748,4077,1,Y,No,3,40,12,6,2,12,8,1,7,0,1
1820323,50,No,Travel_Rarely,Care,1,3,Medical,Male,86,1,Nurse,3,Married,3690,3425,2,Y,No,3,40,5,2,2,3,2,0,2,12,0
1820041,19,Yes,Travel_Frequently,Nursing,1,1,Technical Degree,Female,100,1,Other,1,Single,2325,20989,0,Y,No,4,40,1,5,4,0,0,0,0,12,1
1819647,38,No,Travel_Rarely,Dietary,2,3,Medical,Male,81,2,Therapist,2,Married,4855,7653,4,Y,No,3,40,7,2,3,5,2,1,4,12,1
1819484,51,No,Travel_Rarely,Dietary,7,4,Medical,Male,34,2,Therapist,3,Married,6132,13983,2,Y,No,3,40,10,2,3,1,0,0,0,12,0
1819347,38,No,Non-Travel,Dietary,2,3,Human Resources,Male,100,1,Other,2,Divorced,2592,7129,5,Y,No,3,40,13,3,3,11,10,3,8,12,0
1818921,51,No,Travel_Rarely,Nursing,21,4,Marketing,Male,71,2,Nurse,4,Single,5441,8423,0,Y,No,4,40,11,2,1,10,7,1,0,12,1
1818579,28,No,Travel_Rarely,Care,19,4,Medical,Male,78,1,Nurse,1,Married,3196,12449,1,Y,No,3,40,6,2,3,6,5,3,3,12,1
1818532,21,Yes,Travel_Rarely,Care,1,1,Technical Degree,Female,70,1,Other,2,Single,2070,25326,1,Y,No,3,40,2,6,4,2,2,2,2,12,0
1818424,37,Yes,Travel_Rarely,Nursing,1,4,Life Sciences,Male,46,3,Nurse,3,Married,10609,14922,5,Y,No,3,40,17,2,1,14,1,11,7,12,0
1818407,25,No,Travel_Rarely,Nursing,8,2,Other,Female,85,2,Nurse,3,Divorced,4907,13684,0,Y,No,4,40,6,3,2,5,3,0,4,0,0
1818130,55,No,Travel_Frequently,Dietary,2,1,Life Sciences,Male,65,3,Therapist,2,Married,10976,15813,3,Y,No,3,40,23,4,3,3,2,1,2,12,1
1817745,34,Yes,Travel_Rarely,Nursing,24,4,Medical,Female,40,2,Nurse,2,Single,4599,7815,0,Y,No,4,40,16,2,4,15,9,10,10,12,0
1817679,35,No,Travel_Rarely,Nursing,7,4,Life Sciences,Female,55,2,Nurse,4,Married,5204,13586,1,Y,No,3,40,10,2,3,10,8,0,9,0,1
1817017,47,No,Travel_Rarely,Nursing,2,4,Life Sciences,Female,47,4,Administrative,2,Divorced,15972,21086,6,Y,No,3,40,29,2,3,3,2,1,2,12,0
1815564,46,No,Non-Travel,Dietary,7,4,Medical,Female,30,2,Therapist,3,Married,5258,16044,2,Y,No,3,40,7,2,4,1,0,0,0,12,0
1815487,42,No,Travel_Rarely,Dietary,2,2,Medical,Male,35,4,Other,1,Married,17665,14399,0,Y,No,3,40,23,3,3,22,6,13,7,0,0
1814200,42,No,Travel_Rarely,Care,2,4,Life Sciences,Female,81,2,Nurse,4,Married,4089,5718,1,Y,No,3,40,10,4,3,10,2,2,2,12,0
1812838,24,Yes,Travel_Frequently,Care,9,3,Medical,Male,89,1,Nurse,1,Single,3172,16998,2,Y,No,3,40,4,2,2,0,0,0,0,12,0
1812528,42,No,Travel_Rarely,Nursing,4,4,Marketing,Male,45,2,Nurse,1,Single,5155,2253,7,Y,No,3,40,9,3,4,6,4,1,5,12,0
1812429,39,No,Travel_Rarely,Dietary,1,1,Life Sciences,Female,65,4,Therapist,4,Married,12742,7060,1,Y,No,3,40,21,3,3,21,6,11,8,12,0
1812428,20,No,Travel_Rarely,Care,1,3,Life Sciences,Female,83,1,Other,2,Single,2836,11757,1,Y,No,3,40,1,0,4,1,0,0,0,12,1
1811717,47,No,Travel_Rarely,Dietary,25,3,Medical,Male,84,3,Nurse,3,Single,8633,13084,2,Y,No,4,40,25,3,3,17,14,12,11,12,1
1811254,53,No,Travel_Rarely,Care,2,3,Medical,Male,39,4,Administrative,2,Single,16598,19764,4,Y,No,3,40,35,2,2,9,8,8,8,12,1
1810874,23,No,Travel_Rarely,Nursing,7,3,Life Sciences,Male,99,1,Other,4,Divorced,2275,25103,1,Y,No,4,40,3,2,3,3,2,0,2,12,0
1810635,50,No,Travel_Frequently,Nursing,12,3,Marketing,Female,77,3,Nurse,4,Single,9208,6645,4,Y,No,3,40,16,3,3,2,2,2,1,12,0
1810242,31,Yes,Travel_Rarely,Nursing,20,3,Life Sciences,Female,71,2,Nurse,3,Married,4559,24788,3,Y,No,3,40,4,2,3,2,2,2,2,12,0
1810061,33,No,Travel_Frequently,Nursing,10,3,Marketing,Male,46,2,Nurse,4,Single,4682,4317,3,Y,No,3,40,9,6,2,7,7,0,1,12,0
1808720,45,No,Travel_Frequently,Dietary,1,4,Medical,Male,44,2,Nurse,3,Single,5399,14511,4,Y,No,3,40,12,3,3,4,2,0,3,12,1
1808474,38,No,Travel_Rarely,Care,2,5,Medical,Male,92,1,Other,3,Married,3057,20471,6,Y,No,3,40,6,0,1,1,0,0,1,12,0
1806233,32,No,Travel_Rarely,Nursing,4,2,Life Sciences,Female,56,1,Other,2,Married,3931,20990,2,Y,No,3,40,6,5,3,4,3,1,2,12,1
1806025,30,Yes,Travel_Rarely,Care,3,3,Technical Degree,Female,88,1,Other,1,Single,2657,8556,5,Y,No,3,40,8,5,3,5,2,0,4,12,0
